Id,PartitionKey,RowKey,Province,Municipality,City,Street,StreetNumber,StreetNumberAdditions,Lat,Lng
{32919F21-EC11-4752-9993-000064C83DEA},3454LR,3454LR82,Utrecht,Utrecht,De Meern,Anton van Duinkerkenlaan,82,,52.0847767,5.0459304
{4B5BDAFE-A6CD-4DA5-A7D6-00185C652879},3454EX,3454EX18,Utrecht,Utrecht,De Meern,Nyeveltstraat,18,,52.0821279,5.0345679
{E06ED374-9BB6-49FE-B595-0023D63C12B5},3454AE,3454AE15,Utrecht,Utrecht,De Meern,Zonstraat,15,,52.0810532,5.0414682
{8EC5E0B4-D730-49CA-A551-00241DEE76D0},3454GW,3454GW139,Utrecht,Utrecht,De Meern,Touwslagerslaan,139,,52.0827605,5.0307333
{01642124-3928-4E5C-B76E-0025A55B333E},3454VD,3454VD12,Utrecht,Utrecht,De Meern,Castellumpark,12,,52.085795,5.0405398
{448F4BD5-910C-493D-AD7D-002C257FE05F},3454RD,3454RD22,Utrecht,Utrecht,De Meern,Dampkring,22,,52.0855597,5.035594
{098BE84D-3CC9-44A9-954C-002D1165A57A},3454AT,3454AT48,Utrecht,Utrecht,De Meern,Meentweg,48,,52.079294,5.0434292
{B7D1F186-D74E-4624-9D26-00E95DB55B27},3454DE,3454DE68,Utrecht,Utrecht,De Meern,Mandenmakerslaan,68,,52.0799078,5.0290633
{E14FA2E7-44F9-4464-B7F3-00EB031840EB},3454KL,3454KL8,Utrecht,Utrecht,De Meern,Réaumur,8,,52.0875765,5.0340212
{7FA9C394-8B70-4D40-92CA-00FD1479D068},3454JZ,3454JZ110XA,Utrecht,Utrecht,De Meern,Zandweg,110,A,52.0828217,5.0384244
{18DE8FB0-72D6-4EB3-9EBF-00FD3C46431D},3454LM,3454LM47,Utrecht,Utrecht,De Meern,Gerard den Brabanderlaan,47,,52.083797,5.0466149
{7017DB7E-58BE-4A20-9CA3-010414D3A6CC},3454TT,3454TT1,Utrecht,Utrecht,De Meern,Schemering,1,,52.0858015,5.0275668
{F4BFDB81-9F9A-44D3-86FB-0105E10285F0},3454TG,3454TG9,Utrecht,Utrecht,De Meern,Wolkendek,9,,52.0863425,5.0256826
{C613F28D-9FB8-4ECA-971B-01071F9E60B0},3454LR,3454LR58,Utrecht,Utrecht,De Meern,Anton van Duinkerkenlaan,58,,52.0856145,5.0461074
{10B6B6BF-FEC8-4759-AE20-01166220D054},3454CD,3454CD115,Utrecht,Utrecht,De Meern,Mereveldlaan,115,,52.0774533,5.035564
{A88E0358-C85B-435C-9A86-01191D602854},3454SL,3454SL147,Utrecht,Utrecht,De Meern,Evenaar,147,,52.0865717,5.0291301
{7F29A8DB-00F6-4350-AF03-011E74C7A2C1},3454PS,3454PS30,Utrecht,Utrecht,De Meern,Damzigt,30,,52.0776924,5.0481725
{A020DD9E-B822-4880-BD63-01D973C01362},3454LM,3454LM27,Utrecht,Utrecht,De Meern,Gerard den Brabanderlaan,27,,52.0842984,5.0466956
{25458F4C-8CB9-4788-9BF4-01DA15DAAFDB},3454AW,3454AW114,Utrecht,Utrecht,De Meern,Meentweg,114,,52.0766941,5.041903
{3BDDC987-5D6C-4083-A745-01DE80E29B54},3454WG,3454WG53,Utrecht,Utrecht,De Meern,Gouvernantelaan,53,,52.0769349,5.0277903
